,id_starname,teff,teff_err,logg,logg_err,feh,feh_err,feh_err,parallax,parallax_err,kmag,kmag_err,ra,dec,band,dust,cks_sprov
39,K00127,5595.8,100,4.7,1,0.371,0.06,0.12,-99,0,12.361,0.018,289.607943273,44.3454347101,kmag,allsky,cks1
40,K00128,5662.1,100,4.7,1,0.266,0.06,0.12,-99,0,12.216,0.028,296.20055063,49.1400304374,kmag,allsky,cks1
41,K00134,6235.5,100,4.7,1,0.284,0.06,0.12,-99,0,12.322,0.018,295.586597971,45.3649371263,kmag,allsky,cks1
42,K00135,5956.8,100,4.7,1,0.343,0.06,0.12,-99,0,12.549,0.03,285.240828807,46.668241075,kmag,allsky,cks1
43,K00137,5441.0,100,4.7,1,0.282,0.06,0.12,-99,0,11.756,0.019,298.079444759,44.7462479635,kmag,allsky,cks1
44,K00139,5905.3,100,4.7,1,0.224,0.06,0.12,-99,0,12.11,0.023,291.653162965,44.6882612706,kmag,allsky,cks1
45,K00144,4931.8,100,4.7,1,0.285,0.06,0.12,-99,0,11.461,0.014,296.524518732,39.2498502922,kmag,allsky,cks1
46,K00145,4922.8,100,4.7,1,0.047,0.06,0.12,-99,0,11.382,0.025,296.817745833,46.7815147022,kmag,allsky,cks1
47,K00148,5234.9,100,4.7,1,0.256,0.06,0.12,-99,0,11.221,0.023,299.139309362,40.9489390358,kmag,allsky,cks1
48,K00149,5707.8,100,4.7,1,0.032,0.06,0.12,-99,0,11.731,0.02,286.630079569,38.9455907032,kmag,allsky,cks1
49,K00150,5500.6,100,4.7,1,-0.403,0.06,0.12,-99,0,12.155,0.021,296.981136078,43.2097025112,kmag,allsky,cks1
50,K00152,6388.9,100,4.7,1,0.061,0.06,0.12,-99,0,12.606,0.031,300.517106653,44.3815508451,kmag,allsky,cks1
51,K00153,4791.3,100,4.7,1,0.127,0.06,0.12,-99,0,11.255,0.023,287.997872084,50.9441847186,kmag,allsky,cks1
52,K00155,5667.0,100,4.7,1,-0.173,0.06,0.12,-99,0,11.91,0.022,292.321517448,43.8811722703,kmag,allsky,cks1
53,K00157,5763.2,100,4.7,1,0.052,0.06,0.12,-99,0,12.18,0.02,297.115094872,41.9091091894,kmag,allsky,cks1
54,K00159,5999.7,100,4.7,1,-0.023,0.06,0.12,-99,0,11.97,0.019,297.711929892,45.261984965,kmag,allsky,cks1
55,K00161,4995.3,100,4.7,1,0.337,0.06,0.12,-99,0,11.241,0.02,287.051694028,40.2114231935,kmag,allsky,cks1
