,id_starname,gdir_srad,gdir_srad_err1,gdir_srad_err2,gdir_avs,gdir_avs_err1,gdir_avs_err2,giso_smass,giso_smass_err2,giso_smass_err1,giso_srad,giso_srad_err1,giso_srad_err2,giso_srho,giso_srho_err1,giso_srho_err2,giso_sage,giso_sage_err1,giso_sage_err2,giso2_sparallax,giso2_sparallax_err1,giso2_sparallax_err2
365,K01408,0.672513426458,0.0239196538644,-0.0228385950522,0.113230094791,0.000357527999191,-0.000354853763946,0.663843329337,-0.013051634997,0.0160452256058,0.646295191154,0.00573476401182,-0.00591454300689,2.44929501577,0.0846324993163,-0.0650507057593,8.42544466627,4.05842421496,-4.80426562174,4.37320938777,0.297109729384,-0.284061266726
366,K01422,0.0,0.0,-0.0,0.0,0.0,-0.0,0.352097745168,-0.06963503946,0.0554992741795,0.336323477706,0.0481297093699,-0.0552063303297,8.98945997714,3.3543707392,-2.00544282491,6.91290275577,4.70838353579,-4.60247534679,6.19733472149,1.10651433358,-1.0369558519
367,K01430,0.67870523664,0.02590688548,-0.0247108268575,0.0883126309768,0.000200063776381,-0.000195436450941,0.666094119123,-0.0145175271305,0.0177595097952,0.653092781833,0.00791676638743,-0.00814693161293,2.38614806385,0.0985173527831,-0.0795005983238,9.21543982128,3.41353616307,-4.83148532911,2.25355159125,0.109717189491,-0.111748813234
368,K01466,0.729600684091,0.0489532967843,-0.0454060331693,0.0714420441825,0.000417394811512,-0.000393664028397,0.758515004935,-0.0252667655031,0.0261342032175,0.72476667671,0.0156310072858,-0.0145366691182,1.98219434165,0.118832757368,-0.113495023097,6.69778786083,4.70407197564,-4.48917869166,1.17798833409,0.0614146089693,-0.073484937942
369,K01596,0.765801009763,0.0404355662791,-0.0378340879529,0.169603139921,0.00171559908251,-0.00168458063551,0.77516142199,-0.0195881452111,0.0269055142438,0.749222330962,0.00714926085843,-0.00775922709321,1.83993173384,0.0957971689927,-0.0708473495968,8.6138149912,3.73020211572,-4.86794047167,2.00422608907,0.110557351948,-0.112316086161
370,K01611,0.680355356536,0.0244360933566,-0.0234142082023,0.0350799179306,6.11470477289e-05,-6.10578766398e-05,0.680198479785,-0.0126495983633,0.0203386763721,0.66092420668,0.00566638745139,-0.00553041164449,2.35202422036,0.0823001680576,-0.0607319129687,8.75537468028,3.58213838646,-5.8613545109,15.0255018366,0.939486865114,-0.920583588671
371,K01681,0.0,0.0,-0.0,0.0,0.0,-0.0,0.362148236443,-0.0676688941393,0.0548475310772,0.345163562013,0.0476457327954,-0.0544209277051,8.55822127108,3.12896052337,-1.86087571506,6.90643884607,4.7119111234,-4.60505703092,6.09258203304,1.05092668295,-0.988222058475
372,K01772,0.730748899023,0.0297070251655,-0.0283812039841,0.124316520358,0.00137302885203,-0.00133160971642,0.673042022184,-0.0110204877991,0.0130431050223,0.664795868054,0.00700225164957,-0.00778083316324,2.28054489243,0.0857531897061,-0.0606116378947,11.2500026779,1.97964567576,-4.01499243055,2.88989082616,0.180803883877,-0.179303591052
373,K01781,0.75281836206,0.0363899204636,-0.0340596698981,0.031696325226,3.52927499826e-05,-3.51876646492e-05,0.798770754595,-0.028877982285,0.0325560283847,0.758266418567,0.00526412991363,-0.00532824149754,1.82793784709,0.0897350242629,-0.0874517535853,5.96557871655,4.7340110199,-4.27477030377,6.38696248375,0.347233203078,-0.58270432932
374,K01876,0.639120655472,0.0230687859012,-0.0220607920857,0.0908348023132,0.00102223344118,-0.00100562105758,0.639718541749,-0.0133317620194,0.01731238077,0.625206553417,0.00651804919013,-0.00693519486461,2.61420302153,0.0959015086494,-0.0829337785045,7.91975631113,4.24506182741,-5.04124311067,2.83460937427,0.149810677843,-0.140588704389
375,K02184,0.68125064326,0.0364425830983,-0.0340789863928,0.134459356629,0.000806768076669,-0.000786554466062,0.668628769055,-0.0164273175235,0.0222406704865,0.652107262195,0.00796600891663,-0.00785112525305,2.40815577121,0.109813071619,-0.0931266258478,8.72177456521,3.71492183575,-4.99920412186,1.98196466041,0.107261043065,-0.102096408522
376,K02339,0.689595020074,0.036516896493,-0.0342065818886,0.0860584433192,0.00050675225496,-0.000495084065492,0.732607812713,-0.0224186410023,0.0204917076191,0.69875136419,0.00864596844037,-0.00787076120268,2.13947305297,0.0873852677969,-0.0890216159571,5.86139663399,4.97309972154,-3.8259733563,1.99767357648,0.105869821644,-0.120781778914
377,K02529,0.663374334715,0.0391175916365,-0.0365695984168,0.19916269466,0.0064661219273,-0.00616460152431,0.6929188597,-0.0198196816001,0.0219450728175,0.668602345858,0.0131817931278,-0.0135087023113,2.31245845135,0.122037943435,-0.111995144718,6.31317867228,4.91082713558,-4.19895759012,1.67892829949,0.0952826301543,-0.096267753409
378,K02626,0.0,0.0,-0.0,0.0,0.0,-0.0,0.30330969971,-0.0665939116855,0.0604604968391,0.298270667914,0.0494821047665,-0.052689132362,11.0737320836,4.42596900151,-2.67400308321,7.01587063472,4.65186264769,-4.60786114236,7.05608992487,1.35132193055,-1.32557533578
379,K02650,0.639204068897,0.021264418067,-0.0211670763389,0.105010665852,0.00140422354731,-0.00135646970343,0.634645907493,-0.0136531421995,0.0149533645864,0.614571718884,0.00954036513361,-0.00882718271149,2.72634885299,0.0994108729492,-0.0957112166687,7.98093312606,4.26061936175,-4.81819508741,2.8792989184,0.229691368038,-0.233178005359
380,K02703,0.699818552963,0.0276008760526,-0.0263133496832,0.0986884871016,0.000695211890982,-0.000680955819005,0.719425741125,-0.0196751206786,0.0220799525923,0.694915008504,0.00758434376494,-0.00793630410246,2.13968070767,0.0820063446425,-0.0779790116649,7.67617290242,4.22144659262,-4.52819649675,2.1965703479,0.0933629907156,-0.0986741147967
381,K02762,0.755266699422,0.0263894675494,-0.0253318982644,0.107682762128,0.000678058353267,-0.000666302525985,0.759357920255,-0.0143394315546,0.0217901767618,0.73704828936,0.00649637914898,-0.00678056974304,1.88767841251,0.0878971594472,-0.0526036811051,10.1054244732,2.67977545281,-4.56952696742,2.30133815381,0.0931278312717,-0.0950198946052
382,K02770,0.689106999499,0.0271566686319,-0.0258681364704,0.105153414245,0.000484130642647,-0.000408868485511,0.673432366218,-0.014446948631,0.0170453379002,0.659271162445,0.00811230816246,-0.00837782557182,2.34248850037,0.096679749064,-0.0802954681573,9.23398672607,3.39429558963,-4.84517867596,2.30728443747,0.131660004176,-0.121710023399
