,id_starname,teff,teff_err,logg,logg_err,feh,feh_err,parallax,parallax_err,kmag,kmag_err,ra,dec,band,dust,cks_sprov
536,KIC6697756,4283.0,60,-99,-99,-0.5,0.12,0.004955513443899626,1.6773880555756756e-05,11.47,0.013999999999999999,293.6084289025083,42.197874633062774,kmag,green19,smemp
724,KIC7871954,4009.0,60,-99,-99,-0.44,0.12,0.004792014406494607,2.108406410043068e-05,11.595999999999998,0.019,283.13547421251104,43.65670359267685,kmag,green19,smemp
1036,KIC9388479,3646.0,60,-99,-99,0.1,0.12,0.005744202225436298,2.7746535429643102e-05,11.720999999999998,0.018,283.73172743288615,45.95852882211771,kmag,green19,smemp
1265,KIC10395543,4081.0,60,-99,-99,0.24,0.12,0.003978171719406209,1.5847648357128388e-05,11.61,0.013,287.6911699778456,47.54660426876821,kmag,green19,smemp
