,id_starname,teff,teff_err,logg,logg_err,feh,feh_err,feh_err,parallax,parallax_err,kmag,kmag_err,ra,dec,band,dust,cks_sprov
42,K00117,5742.0,60,4.7,1,0.31,0.12,0.12,-99,0,11.06,0.016,297.02816203324835,48.20860190614773,kmag,allsky,smemp
43,K00118,5788.0,60,4.7,1,0.07,0.12,0.12,-99,0,10.897,0.018,287.36291445424587,38.649734106170456,kmag,allsky,smemp
44,K00122,5638.0,60,4.7,1,0.33,0.12,0.12,-99,0,10.800999999999998,0.017,284.48242810241123,44.397891023097856,kmag,allsky,smemp
45,K00123,5970.0,60,4.7,1,-0.06,0.12,0.12,-99,0,11.001,0.017,290.39267945726016,40.284907366724866,kmag,allsky,smemp
46,K00124,5859.0,60,4.7,1,-0.14,0.12,0.12,-99,0,11.623,0.019,292.9291692964931,48.60283025991092,kmag,allsky,smemp
47,K00125,5385.0,60,4.7,1,0.07,0.12,0.12,-99,0,12.029000000000002,0.022,288.9022829175181,49.37040787263135,kmag,allsky,smemp
48,K00127,5423.0,60,4.7,1,0.39,0.12,0.12,-99,0,12.361,0.018,289.6079432730544,44.345434710074436,kmag,allsky,smemp
49,K00128,5600.0,60,4.7,1,0.29,0.12,0.12,-99,0,12.216,0.028,296.20055063044106,49.140030437424095,kmag,allsky,smemp
50,K00130,6057.0,60,4.7,1,-0.23,0.12,0.12,-99,0,11.87,0.021,297.36026488831163,40.42974932996012,kmag,allsky,smemp
51,K00131,6189.0,60,4.7,1,-0.1,0.12,0.12,-99,0,12.562,0.024,299.0975167289228,43.49758506047715,kmag,allsky,smemp
52,K00134,5983.0,60,4.7,1,0.23,0.12,0.12,-99,0,12.322,0.018,295.5865979708957,45.364937126268224,kmag,allsky,smemp
53,K00135,5782.0,60,4.7,1,0.33,0.12,0.12,-99,0,12.549,0.03,285.240828806911,46.668241074956796,kmag,allsky,smemp
54,K00137,5305.0,60,4.7,1,0.33,0.12,0.12,-99,0,11.755999999999998,0.019,298.0794447592696,44.746247963452454,kmag,allsky,smemp
55,K00138,6382.0,60,4.7,1,-0.25,0.12,0.12,-99,0,12.719,0.029,295.9409393902275,44.578340844288476,kmag,allsky,smemp
56,K00139,5781.0,60,4.7,1,0.17,0.12,0.12,-99,0,12.11,0.023,291.65316296513237,44.6882612706185,kmag,allsky,smemp
57,K00144,4747.0,60,4.7,1,0.15,0.12,0.12,-99,0,11.460999999999999,0.013999999999999999,296.5245187316592,39.24985029217311,kmag,allsky,smemp
58,K00145,4861.0,60,4.7,1,0.08,0.12,0.12,-99,0,11.382,0.025,296.81774583345964,46.78151470224828,kmag,allsky,smemp
59,K00148,5154.0,60,4.7,1,0.3,0.12,0.12,-99,0,11.220999999999998,0.023,299.13930936188456,40.948939035819286,kmag,allsky,smemp
60,K00149,5717.0,60,4.7,1,0.02,0.12,0.12,-99,0,11.731,0.02,286.63007956862134,38.945590703156036,kmag,allsky,smemp
61,K00150,5631.0,60,4.7,1,-0.53,0.12,0.12,-99,0,12.155,0.021,296.98113607764617,43.209702511170455,kmag,allsky,smemp
62,K00151,6129.0,60,4.7,1,-0.18,0.12,0.12,-99,0,12.554,0.026,292.3747557677391,37.630969323511096,kmag,allsky,smemp
63,K00152,6212.0,60,4.7,1,-0.1,0.12,0.12,-99,0,12.606,0.031,300.5171066533037,44.38155084512099,kmag,allsky,smemp
64,K00153,4611.0,60,4.7,1,0.1,0.12,0.12,-99,0,11.255,0.023,287.99787208416575,50.94418471856254,kmag,allsky,smemp
65,K00155,5597.0,60,4.7,1,-0.31,0.12,0.12,-99,0,11.91,0.022,292.3215174479215,43.88117227031544,kmag,allsky,smemp
66,K00157,5748.0,60,4.7,1,0.05,0.12,0.12,-99,0,12.18,0.02,297.1150948722061,41.90910918938176,kmag,allsky,smemp
67,K00159,5941.0,60,4.7,1,-0.06,0.12,0.12,-99,0,11.97,0.019,297.71192989191,45.26198496500922,kmag,allsky,smemp
68,K00160,,60,4.7,1,,0.12,0.12,-99,0,12.385,0.02,298.1837356760917,42.01318973448935,kmag,allsky,smemp
69,K00161,4781.0,60,4.7,1,0.15,0.12,0.12,-99,0,11.241,0.02,287.05169402842535,40.21142319351958,kmag,allsky,smemp
70,K00166,5125.0,60,4.7,1,-0.36,0.12,0.12,-99,0,11.716,0.02,291.021889924062,37.76987342640929,kmag,allsky,smemp
71,K00167,6022.0,60,4.7,1,0.07,0.12,0.12,-99,0,12.065,0.022,294.463916470593,49.76504725390225,kmag,allsky,smemp
72,K00168,5853.0,60,4.7,1,-0.12,0.12,0.12,-99,0,11.998,0.019,294.21891312870116,49.479253553829345,kmag,allsky,smemp
73,K00171,6068.0,60,4.7,1,0.08,0.12,0.12,-99,0,12.383,0.022,294.7420605033016,43.536784241654246,kmag,allsky,smemp
74,K00172,5647.0,60,4.7,1,-0.42,0.12,0.12,-99,0,12.234000000000002,0.026,293.2609013066638,44.86886564417808,kmag,allsky,smemp
75,K00173,5687.0,60,4.7,1,-0.02,0.12,0.12,-99,0,12.383,0.025,291.90698616047854,49.262075999243706,kmag,allsky,smemp
76,K00174,4687.0,60,4.7,1,-0.22,0.12,0.12,-99,0,11.536,0.018,296.8229326423017,48.10776281861092,kmag,allsky,smemp
