,id_starname,teff,teff_err,logg,logg_err,feh,feh_err,parallax,parallax_err,kmag,kmag_err,ra,dec,band,dust,cks_sprov
57,KIC2989404,5987.09431942,100,-99,-99,-0.158191800493,0.06,0.0022231178686462037,3.138327726119213e-05,11.354,0.02,291.38229877579886,38.12745954865918,kmag,green19,smsyn
94,KIC3426367,4567.2674081000005,100,-99,-99,-0.990905485777,0.06,0.008896923427908508,3.302158815490014e-05,11.023,0.018,285.9287514346354,38.520709732203436,kmag,green19,smsyn
174,KIC4150804,5500.88312228,100,-99,-99,0.184649758087,0.06,0.002887553959834808,2.0763964616104073e-05,11.309,0.02,289.79175610285586,39.28526553087817,kmag,green19,smsyn
891,KIC8653134,4939.44633019,100,-99,-99,0.0996099281188,0.06,0.002950203694945586,2.186347241457954e-05,11.636,0.025,300.43100764154644,44.751012863457916,kmag,green19,smsyn
1087,KIC9575728,4441.17660614,100,-99,-99,-0.21460331912500002,0.06,0.005222798027777809,1.5434536650169705e-05,11.179,0.019,285.63620837235464,46.24692833405869,kmag,green19,smsyn
1386,KIC10990886,4733.77252295,100,-99,-99,-0.721306746419,0.06,0.007678539505088465,2.882268568823439e-05,10.963,0.021,298.10613147960333,48.40164477632785,kmag,green19,smsyn
1488,KIC11453592,4832.50575615,100,-99,-99,-0.845745646081,0.06,0.009647279933676462,3.2505515399545363e-05,10.726,0.023,290.9564462888553,49.366793338735036,kmag,green19,smsyn
1629,KIC12506770,4482.91960484,100,-99,-99,-0.023029356868500002,0.06,0.0018762808859688256,3.520822281781178e-05,13.387,0.039,289.2906978208966,51.40899360746354,kmag,green19,smsyn
