id_obs,id_name,obs_bjd,obs_counts,obs_exposure_time,obs_logline,obs_decker,smemp_teff,smemp_teff_err,smemp_radius,smemp_fe,smemp_fe_err,smsyn_teff,smsyn_teff_err,smsyn_logg,smsyn_logg_err,smsyn_fe,smsyn_fe_err,smsyn_vsini
j155.73,CK02831,2456138.04636498,10008.0,254.72399902,73     CK02831        n  13:02:40   254  (13:02:41) C2  10k    ,C2,5854.0,110.0,1.629,0.02,0.09,5721.81272496,100.0,3.92862818404,0.1,-0.0286637851502,0.06,4.55422088905
j155.74,CK02675,2456138.05063785,10020.0,177.28320312,74     CK02675        n  13:07:46   176  (13:07:45) C2  10k    ,C2,5651.0,110.0,0.982,0.07,0.09,5730.36996959,100.0,4.61047379233,0.1,0.110502040728,0.06,7.71930224431
j155.75,CK02687,2456138.05273802,10036.0,22.53960037,75     CK02687        n  13:11:01    22  (13:11:02) C2  10k    ,C2,5730.0,110.0,1.11,-0.01,0.09,5776.51896356,100.0,4.49277564924,0.1,0.0638230015516,0.06,3.30633416501
j155.76,CK02737,2456138.05504144,10024.0,187.07200623,76     CK02737        n  13:14:12   186  (13:14:11) C2  10k    ,C2,5550.0,110.0,1.581,0.38,0.09,5667.09474105,100.0,4.02353649644,0.1,0.372326698728,0.06,2.25473791263
j155.82,CK02009,2456138.07877836,10028.0,768.40557861,82     CK02009        n  13:47:54   768  (13:47:58) C2  10k  AM=2.0,C2,5669.0,110.0,1.046,-0.42,0.09,5661.06590505,100.0,4.34948185114,0.1,-0.226357232159,0.06,1.24294837362
j155.83,CK02365,2456138.08820651,10016.0,813.00640869,83     CK02365        n  14:02:58   812  (14:03:03) C2  10k    ,C2,5833.0,110.0,1.381,0.17,0.09,5952.3806066,100.0,4.17035609177,0.1,0.211031828893,0.06,3.66130941875
j155.84,CK02641,2456138.10032781,10004.0,986.48681641,84     CK02641        n  14:19:47   986  (14:19:34) C2  10k  close companion SW,C2,5896.0,110.0,1.143,0.07,0.09,5779.23340735,100.0,4.0285501744,0.1,-0.0108878711641,0.06,2.93826014111
j155.85,CK01754,2456138.11039177,10004.0,591.39520264,85     CK01754        n  14:34:08   591  (14:34:09) C2  10k    ,C2,6053.0,110.0,1.305,-0.16,0.09,6184.29400228,100.0,4.39136469069,0.1,-0.0503404134919,0.06,6.83847040019
j155.270,CK02879,2456139.0362176,10012.0,339.85562134,270    CK02879        n  12:47:05   339  (12:47:00) C2  10k    ,C2,5374.0,110.0,0.905,-0.08,0.09,5451.51002133,100.0,4.57464606177,0.1,-0.0164092503121,0.06,1.88126920154
j155.271,CK03227,2456139.04020745,10008.0,230.4875946,271    CK03227        n  12:53:09   230  (12:53:12) C2  10k  companions,C2,5843.0,110.0,1.334,0.04,0.09,5933.33413581,100.0,4.29389699446,0.1,0.031689796808,0.06,3.10042936867
j155.272,CK03239,2456139.04454093,10008.0,296.95239258,272    CK03239        n  12:58:46   296  (12:58:45) C2  10k    ,C2,5524.0,110.0,0.912,-0.05,0.09,5645.53435704,100.0,4.66410667978,0.1,0.064021734059,0.06,5.70963222578
j155.273,CK03246,2456139.04861683,10012.0,387.57321167,"273    CK03246        n  13:05:41   386  (13:05:42) C2  10k  1.5""",C2,4680.0,110.0,0.74,0.14,0.09,4795.96193396,100.0,4.59223178298,0.1,0.135709969597,0.06,3.76788148325
