obs,id_obs,id_name,id_koi
rj118.855,rj118.855,CK00326,326
rj118.856,rj118.856,CK00327,327
rj118.857,rj118.857,CK00635,635
rj118.858,rj118.858,CK00332,332
rj118.859,rj118.859,CK00355,355
rj118.860,rj118.860,CK00719,719
rj118.861,rj118.861,CK00679,679
rj118.862,rj118.862,CK00177,177
rj118.863,rj118.863,CK00343,343
rj118.864,rj118.864,CK00354,354
rj118.865,rj118.865,CK00167,167
rj118.866,rj118.866,CK00384,384
rj118.867,rj118.867,CK00710,710
rj118.868,rj118.868,CK00627,627
rj118.869,rj118.869,CK00379,379
rj118.870,rj118.870,CK00640,640
rj118.871,rj118.871,CK00341,341
rj118.1348,rj118.1348,CK00714,714
rj118.1349,rj118.1349,CK00659,659
rj118.1350,rj118.1350,CK00385,385
rj118.1351,rj118.1351,CK00338,338
rj118.1352,rj118.1352,CK00044,44
rj118.1353,rj118.1353,CK00626,626
rj118.1354,rj118.1354,CK00155,155
rj118.1355,rj118.1355,CK00163,163
rj118.1356,rj118.1356,CK00393,393
rj118.1357,rj118.1357,CK00625,625
rj118.1358,rj118.1358,CK00650,650
rj118.1359,rj118.1359,CK00638,638
rj118.1360,rj118.1360,CK00721,721
rj118.1361,rj118.1361,CK00697,697
rj118.1362,rj118.1362,CK00141,141
rj118.1363,rj118.1363,CK00683,683
rj119.829,rj119.829,K00364,364
rj119.830,rj119.830,K00364,364
rj119.1131,rj119.1131,CK00105,105
rj119.1132,rj119.1132,CK00110,110
rj119.1134,rj119.1134,CK00291,291
rj119.1135,rj119.1135,CK00314,314
rj119.1136,rj119.1136,CK00313,313
rj119.1137,rj119.1137,CK00161,161
rj119.1138,rj119.1138,CK00168,168
rj119.1139,rj119.1139,CK00139,139
rj119.1140,rj119.1140,CK00319,319
rj119.1141,rj119.1141,CK00301,301
rj120.337,rj120.337,K01612,1612
rj120.338,rj120.338,K01612,1612
rj120.339,rj120.339,K01611,1611
rj120.347,rj120.347,CK00294,294
rj120.348,rj120.348,CK01597,1597
rj120.349,rj120.349,CK00107,107
rj120.350,rj120.350,CK00289,289
rj120.351,rj120.351,CK00112,112
rj120.352,rj120.352,CK00296,296
rj120.353,rj120.353,CK00124,124
rj120.354,rj120.354,CK00655,655
rj120.355,rj120.355,CK00360,360
rj120.722,rj120.722,CK00340,340
rj120.723,rj120.723,CK00361,361
rj120.724,rj120.724,CK00142,142
rj120.725,rj120.725,CK00665,665
rj120.726,rj120.726,CK00678,678
rj120.727,rj120.727,CK00375,375
rj120.728,rj120.728,CK00649,649
rj120.729,rj120.729,CK00662,662
rj120.730,rj120.730,CK00345,345
rj120.731,rj120.731,CK00673,673
rj120.732,rj120.732,CK00632,632
rj120.733,rj120.733,CK00703,703
rj120.734,rj120.734,CK00353,353
rj120.735,rj120.735,CK00717,717
rj120.736,rj120.736,CK00350,350
rj120.737,rj120.737,CK00333,333
rj120.738,rj120.738,CK00149,149
rj120.739,rj120.739,CK00344,344
rj120.740,rj120.740,CK00159,159
rj120.741,rj120.741,CK00176,176
rj120.742,rj120.742,CK00695,695
rj120.743,rj120.743,CK00664,664
rj120.744,rj120.744,CK00722,722
rj120.745,rj120.745,CK00331,331
rj120.746,rj120.746,CK00639,639
rj120.747,rj120.747,CK00663,663
rj120.748,rj120.748,CK00346,346
rj120.749,rj120.749,CK00660,660
rj120.921,rj120.921,CK00105,105
rj120.925,rj120.925,CK00647,647
rj120.926,rj120.926,CK00988,988
rj120.927,rj120.927,CK00166,166
rj120.928,rj120.928,CK00387,387
rj120.929,rj120.929,CK00686,686
rj120.930,rj120.930,CK00700,700
rj120.934,rj120.934,CK00991,991
rj120.1126,rj120.1126,CK00349,349
rj120.1127,rj120.1127,CK00624,624
rj120.1128,rj120.1128,CK00680,680
rj120.1129,rj120.1129,CK00388,388
rj120.1130,rj120.1130,CK00692,692
rj120.1132,rj120.1132,CK00144,144
rj120.1133,rj120.1133,CK00049,49
rj120.1134,rj120.1134,CK00704,704
rj120.1135,rj120.1135,CK00171,171
rj120.1136,rj120.1136,CK00712,712
rj120.1137,rj120.1137,CK00666,666
rj120.1138,rj120.1138,CK00701,701
rj121.322,rj121.322,K00084,84
rj122.79,rj122.79,CK01230,1230
rj122.80,rj122.80,CK00975,975
rj122.81,rj122.81,CK00003,3
rj122.82,rj122.82,CK00972,972
rj122.83,rj122.83,CK00042,42
rj122.84,rj122.84,CK00974,974
rj122.85,rj122.85,CK00245,245
rj122.86,rj122.86,CK00069,69
rj122.87,rj122.87,CK00013,13
rj122.88,rj122.88,CK00246,246
rj122.89,rj122.89,CK00364,364
rj122.90,rj122.90,CK01019,1019
rj122.91,rj122.91,CK00261,261
rj122.92,rj122.92,CK00002,2
rj122.93,rj122.93,CK00244,244
rj122.94,rj122.94,CK00075,75
rj122.95,rj122.95,CK00263,263
rj122.97,rj122.97,CK00072,72
rj122.98,rj122.98,CK00041,41
rj122.295,rj122.295,CK01230,1230
rj122.299,rj122.299,CK00716,716
rj122.300,rj122.300,CK00365,365
rj122.301,rj122.301,CK00094,94
rj122.302,rj122.302,CK00004,4
rj122.740,rj122.740,CK00367,367
rj122.741,rj122.741,CK00365,365
rj122.742,rj122.742,CK00001,1
rj122.743,rj122.743,CK00274,274
rj122.749,rj122.749,CK00273,273
rj122.750,rj122.750,CK00082,82
rj122.751,rj122.751,CK00283,283
rj122.759,rj122.759,CK00063,63
rj122.760,rj122.760,CK00984,984
rj122.761,rj122.761,CK00087,87
rj122.762,rj122.762,CK00005,5
rj122.763,rj122.763,CK00366,366
rj122.766,rj122.766,CK00284,284
rj122.767,rj122.767,CK00084,84
rj122.768,rj122.768,CK00098,98
rj122.769,rj122.769,CK00094,94
rj122.770,rj122.770,CK00007,7
rj122.771,rj122.771,CK00108,108
rj122.772,rj122.772,CK00122,122
rj122.773,rj122.773,CK00123,123
rj122.774,rj122.774,CK00070,70
rj122.775,rj122.775,CK00321,321
rj122.776,rj122.776,CK01442,1442
rj122.777,rj122.777,CK00644,644
rj122.778,rj122.778,CK01032,1032
rj122.779,rj122.779,CK01222,1222
rj122.780,rj122.780,CK00103,103
rj122.781,rj122.781,CK00111,111
rj123.81,rj123.81,K00898,898
rj123.82,rj123.82,K00806,806
rj123.85,rj123.85,K00841,841
rj123.86,rj123.86,K00952,952
rj124.128,rj124.128,CK00531,531
rj124.129,rj124.129,CK00671,671
rj124.134,rj124.134,K00085,85
rj124.138,rj124.138,K00122,122
rj124.336,rj124.336,CK01026,1026
rj124.497,rj124.497,CK00172,172
rj124.498,rj124.498,CK00339,339
rj124.499,rj124.499,CK00689,689
rj124.500,rj124.500,CK00046,46
rj124.501,rj124.501,CK00352,352
rj124.502,rj124.502,CK00150,150
rj124.503,rj124.503,CK00670,670
rj124.504,rj124.504,CK00674,674
rj124.505,rj124.505,CK00351,351
rj124.506,rj124.506,CK00356,356
rj125.87,rj125.87,CK01445,1445
rj125.88,rj125.88,CK01463,1463
rj125.89,rj125.89,CK01241,1241
rj125.90,rj125.90,CK01282,1282
rj125.91,rj125.91,CK01162,1162
rj125.92,rj125.92,CK01117,1117
rj125.93,rj125.93,CK01532,1532
rj125.94,rj125.94,K01439,1439
rj125.95,rj125.95,CK01220,1220
rj125.96,rj125.96,CK01474,1474
rj125.97,rj125.97,CK01530,1530
rj125.99,rj125.99,CK01001,1001
rj125.101,rj125.101,CK01535,1535
rj125.102,rj125.102,CK01531,1531
rj125.104,rj125.104,CK01151,1151
rj125.105,rj125.105,CK01215,1215
rj125.106,rj125.106,CK01315,1315
rj125.108,rj125.108,CK01478,1478
rj125.110,rj125.110,CK01536,1536
rj125.111,rj125.111,CK01314,1314
rj125.112,rj125.112,CK01169,1169
rj126.89,rj126.89,K00041,41
rj126.288,rj126.288,K01442,1442
rj127.504,rj127.504,CK00711,711
rj127.505,rj127.505,CK00687,687
rj127.706,rj127.706,CK00500,500
rj127.707,rj127.707,CK01361,1361
rj127.708,rj127.708,CK00698,698
rj127.709,rj127.709,CK00645,645
rj127.710,rj127.710,CK00156,156
rj127.722,rj127.722,CK00676,676
rj127.723,rj127.723,CK01175,1175
rj127.724,rj127.724,CK01150,1150
rj127.725,rj127.725,CK01218,1218
rj127.726,rj127.726,CK01116,1116
rj127.727,rj127.727,CK01401,1401
rj127.728,rj127.728,CK01378,1378
rj127.888,rj127.888,CK00555,555
rj127.889,rj127.889,CK01199,1199
rj127.890,rj127.890,CK00306,306
rj127.891,rj127.891,CK01344,1344
rj128.76,rj128.76,CK00316,316
rj128.77,rj128.77,CK00292,292
rj128.78,rj128.78,CK00116,116
rj128.79,rj128.79,CK00097,97
rj128.80,rj128.80,CK00104,104
rj128.81,rj128.81,CK00299,299
rj128.82,rj128.82,CK00099,99
rj128.83,rj128.83,CK00305,305
rj128.86,rj128.86,K00252,252
rj128.96,rj128.96,CK00165,165
rj128.97,rj128.97,CK00017,17
rj128.477,rj128.477,CK00676,676
rj128.478,rj128.478,CK00684,684
rj128.479,rj128.479,CK00162,162
rj128.489,rj128.489,CK00148,148
rj128.490,rj128.490,CK00180,180
rj128.491,rj128.491,CK00064,64
rj128.492,rj128.492,CK00018,18
rj129.320,rj129.320,CK00707,707
rj129.321,rj129.321,CK01168,1168
rj129.325,rj129.325,CK00720,720
rj129.326,rj129.326,CK00128,128
rj129.327,rj129.327,CK00131,131
rj130.475,rj130.475,CK00022,22
rj130.476,rj130.476,CK00657,657
rj130.482,rj130.482,CK00694,694
rj130.493,rj130.493,CK01010,1010
rj130.494,rj130.494,CK00628,628
rj130.495,rj130.495,CK00685,685
rj130.496,rj130.496,CK00629,629
rj130.497,rj130.497,CK00179,179
rj130.498,rj130.498,CK00718,718
rj130.499,rj130.499,CK01534,1534
rj130.500,rj130.500,CK01379,1379
rj130.501,rj130.501,CK01275,1275
rj130.502,rj130.502,CK01444,1444
rj130.672,rj130.672,CK00693,693
rj130.673,rj130.673,CK00691,691
rj130.690,rj130.690,CK00137,137
rj130.691,rj130.691,CK00330,330
rj130.876,rj130.876,CK00661,661
rj130.877,rj130.877,CK00709,709
rj130.881,rj130.881,CK01311,1311
rj130.882,rj130.882,CK01608,1608
rj130.896,rj130.896,CK00386,386
rj130.897,rj130.897,CK00173,173
rj130.898,rj130.898,CK00633,633
rj130.899,rj130.899,CK00682,682
rj130.900,rj130.900,CK00348,348
rj130.901,rj130.901,CK00337,337
rj130.902,rj130.902,CK00127,127
rj130.903,rj130.903,CK01452,1452
rj130.904,rj130.904,CK01050,1050
rj130.1072,rj130.1072,CK00063,63
rj130.1076,rj130.1076,CK01216,1216
rj130.1077,rj130.1077,CK01236,1236
rj130.1082,rj130.1082,CK00392,392
rj130.1083,rj130.1083,CK01533,1533
rj130.1094,rj130.1094,CK01128,1128
rj130.1095,rj130.1095,CK01412,1412
rj130.1096,rj130.1096,CK01002,1002
rj130.1098,rj130.1098,CK01113,1113
rj130.1099,rj130.1099,CK01375,1375
rj130.1100,rj130.1100,CK01279,1279
rj130.1101,rj130.1101,CK01242,1242
rj130.1104,rj130.1104,CK01353,1353
rj130.1105,rj130.1105,CK00611,611
rj130.1291,rj130.1291,K00365,365
rj130.1295,rj130.1295,K00265,265
rj130.1304,rj130.1304,CK00654,654
rj130.1305,rj130.1305,CK00672,672
rj130.1319,rj130.1319,CK00138,138
rj130.1320,rj130.1320,CK00658,658
rj130.1889,rj130.1889,CK01609,1609
rj130.1890,rj130.1890,CK01576,1576
rj130.2084,rj130.2084,CK01309,1309
rj130.2085,rj130.2085,CK01118,1118
rj130.2086,rj130.2086,CK01148,1148
rj130.2092,rj130.2092,CK01165,1165
rj130.2093,rj130.2093,CK01335,1335
rj130.2094,rj130.2094,CK01308,1308
rj130.2095,rj130.2095,CK01115,1115
rj130.2101,rj130.2101,CK00203,203
rj130.2102,rj130.2102,CK01145,1145
rj130.2280,rj130.2280,CK00135,135
rj130.2281,rj130.2281,CK00151,151
rj130.2287,rj130.2287,CK00708,708
rj130.2288,rj130.2288,CK01606,1606
rj130.2289,rj130.2289,CK01376,1376
