,id_starname,teff,teff_err,logg,logg_err,feh,feh_err,parallax,parallax_err,kmag,kmag_err,ra,dec,band,dust,cks_sprov
247,KIC5475431,6179.0,100,-99,-99,-0.002,0.06,0.002806047041554418,0.0002992744240593229,12.848,0.026,298.5136122962151,40.63961017447852,kmag,green19,cks1
248,KIC5480640,5581.3,100,-99,-99,-0.091,0.06,0.0007871165423459413,0.00010756768117641337,12.698,0.025,299.50172424127805,40.67076688695982,kmag,green19,cks1
249,KIC5480884,4801.5,100,-99,-99,-0.011000000000000001,0.06,0.0013712817609684647,5.7338476970218474e-05,13.668,0.036,299.5467031361605,40.68184833478606,kmag,green19,cks1
250,KIC5511081,5897.5,100,-99,-99,-0.012,0.06,0.001833343193352015,2.183190814836277e-05,10.755999999999998,0.021,282.9790592593543,40.784418784876564,kmag,green19,cks1
251,KIC5513012,5463.4,100,-99,-99,-0.044000000000000004,0.06,0.0017812191558575817,2.046245425018114e-05,12.436,0.021,283.9200236462642,40.74004189952526,kmag,green19,cks1
252,KIC5513648,5909.6,100,-99,-99,-0.052000000000000005,0.06,0.0009610853722714856,0.0003299979312062942,9.455,0.018,284.2340414192309,40.794503507093175,kmag,green19,cks1
253,KIC5513893,5851.9,100,-99,-99,0.063,0.06,0.002177678108752532,1.89782233306593e-05,11.58,0.018,284.3690343914393,40.71854185870244,kmag,green19,cks1
254,KIC5514383,6162.6,100,-99,-99,0.09699999999999999,0.06,0.004401804562290333,2.5592361127337718e-05,9.617,0.017,284.6351885294308,40.719829594974726,kmag,green19,cks1
255,KIC5530112,5970.1,100,-99,-99,0.083,0.06,0.001129280683011418,1.9173789566258082e-05,12.817,0.027000000000000003,290.6583922061913,40.778538285252274,kmag,green19,cks1
256,KIC5531576,4917.8,100,-99,-99,0.405,0.06,0.0013640575372772825,3.4915142101457514e-05,13.464,0.033,291.158763541501,40.75021075667686,kmag,green19,cks1
257,KIC5531694,6108.8,100,-99,-99,-0.374,0.06,0.0011503450287602987,1.5128150248809547e-05,12.16,0.021,291.19508999329554,40.70273522105013,kmag,green19,cks1
258,KIC5534941,5189.5,100,-99,-99,-0.049,0.06,0.0014810265377251765,1.6558557016127524e-05,11.171,0.019,292.2525300578581,40.79278947809984,kmag,green19,cks1
259,KIC5542466,4867.2,100,-99,-99,-0.077,0.06,0.0014209750871861475,0.00015555613099916936,13.452,0.044,294.36490399828665,40.72088977181053,kmag,green19,cks1
260,KIC5561278,6079.5,100,-99,-99,0.013000000000000001,0.06,0.0018226583464966072,2.5714041767022344e-05,10.511,0.018,298.5891948419848,40.75069214169681,kmag,green19,cks1
261,KIC5602588,5787.4,100,-99,-99,0.10099999999999999,0.06,0.0005711855904930585,3.603257251235212e-05,14.318,0.067,285.72076182821314,40.85691157432757,kmag,green19,cks1
262,KIC5613330,6281.8,100,-99,-99,0.21899999999999997,0.06,0.0009006777124189997,1.7846884183016274e-05,11.902999999999999,0.024,289.77326130477945,40.80070194227493,kmag,green19,cks1
263,KIC5613821,5617.6,100,-99,-99,0.022000000000000002,0.06,0.0020810325958619956,1.628691369895434e-05,11.956,0.02,289.9174691234172,40.828542585630544,kmag,green19,cks1
264,KIC5631630,6416.7,100,-99,-99,-0.016,0.06,0.0012300543820002513,1.476745137913571e-05,12.01,0.025,295.15810623924386,40.898818611167826,kmag,green19,cks1
265,KIC5640085,4653.0,100,-99,-99,-0.036000000000000004,0.06,0.0026999650542052405,2.2198407278989197e-05,12.357,0.02,297.0702037278461,40.86873398743528,kmag,green19,cks1
266,KIC5649325,6329.4,100,-99,-99,-0.067,0.06,0.0007620338008598287,1.972153027400281e-05,11.928,0.021,298.9803629615575,40.87203962737246,kmag,green19,cks1
267,KIC5652983,5182.7,100,-99,-99,0.138,0.06,0.001391148144443481,2.9224093690716582e-05,10.17,0.017,299.67619286200784,40.85649516371604,kmag,green19,cks1
268,KIC5689351,5046.2,100,-99,-99,0.171,0.06,0.0024840500838575457,1.802651342194375e-05,12.186,0.021,285.9999203714249,40.91938223827003,kmag,green19,cks1
269,KIC5695396,5787.0,100,-99,-99,0.19,0.06,0.00439724584745212,2.6990896362636718e-05,10.079,0.017,288.53089238110744,40.94237295393122,kmag,green19,cks1
270,KIC5695524,5880.0,100,-99,-99,-0.094,0.06,0.0012488836730366274,1.7577816052042477e-05,12.505,0.024,288.57439906288363,40.98860687066628,kmag,green19,cks1
271,KIC5706595,5649.4,100,-99,-99,0.122,0.06,0.0008810581436070741,2.5726490888212007e-05,13.55,0.048,292.17106830795797,40.91623806153584,kmag,green19,cks1
272,KIC5709725,5274.1,100,-99,-99,0.071,0.06,0.001492802940700472,2.3128321255584725e-05,12.931,0.029,293.1234492676092,40.93480053301085,kmag,green19,cks1
273,KIC5709906,5739.1,100,-99,-99,0.252,0.06,0.0011178944858736626,1.6440287358831495e-05,12.272,0.025,293.1744362965232,40.95077171841758,kmag,green19,cks1
274,KIC5716932,6281.8,100,-99,-99,0.20600000000000002,0.06,0.0009706145510905842,1.703761900661345e-05,12.264,0.023,295.1390408110794,40.979052746666376,kmag,green19,cks1
275,KIC5717567,6091.7,100,-99,-99,0.149,0.06,0.002591499220019345,0.00026320393475501606,10.195,0.025,295.3239708921216,40.90217931043337,kmag,green19,cks1
276,KIC5735762,5234.9,100,-99,-99,0.256,0.06,0.003284323788219456,1.9139857024698903e-05,11.220999999999998,0.023,299.13930936188456,40.948939035819286,kmag,green19,cks1
