,id_starname,teff,teff_err,logg,logg_err,feh,feh_err,parallax,parallax_err,kmag,kmag_err,ra,dec,band,dust,cks_sprov
72,K00173,5666.60730934,100,4.7,1,-0.00356971386922,0.12,0.00125318829178,1.76601010327e-05,12.383,0.025,291.90698616,49.2620759992,kmag,green18,smsyn
73,K00174,4700.97662997,100,4.7,1,-0.232902189313,0.12,0.00321848465813,2.28661685803e-05,11.536,0.018,296.822932642,48.1077628186,kmag,green18,smsyn
74,K00176,6375.85593213,100,4.7,1,-0.210727182608,0.12,0.00118651254057,1.36521498936e-05,12.222,0.024,291.646776447,41.8846843433,kmag,green18,smsyn
75,K00179,6126.33838281,100,4.7,1,0.229453221664,0.12,0.000651485672679,1.72924193901e-05,12.502,0.023,297.045403736,46.3286653081,kmag,green18,smsyn
76,K00180,5640.08570029,100,4.7,1,0.0620444963318,0.12,0.00264108147989,1.90233370554e-05,11.482,0.017,284.394284435,46.2491109102,kmag,green18,smsyn
77,K00186,5801.74532312,100,4.7,1,0.194276951708,0.12,0.000900839833236,2.0057443062e-05,13.433,0.041,294.996341537,50.4700458344,kmag,green18,smsyn
78,K00189,4862.51668178,100,4.7,1,0.149291576811,0.12,0.00231640449194,1.6567176083e-05,12.288,0.025,284.8799791,49.267019525,kmag,green18,smsyn
79,K00191,5469.0696064,100,4.7,1,0.132941810569,0.12,0.00117131628832,2.71660131134e-05,13.25,0.037,295.287231756,41.2220033346,kmag,green18,smsyn
80,K00193,5677.31841762,100,4.7,1,0.106757162445,0.12,0.000764979095915,3.39928915102e-05,13.483,0.05,292.876131819,48.1953545753,kmag,green18,smsyn
81,K00195,5533.98839521,100,4.7,1,-0.169124102721,0.12,0.00120956006927,1.90539681227e-05,13.212,0.033,289.434666841,49.473454966,kmag,green18,smsyn
82,K00197,4936.31814516,100,4.7,1,0.0586979983117,0.12,0.00272947809304,1.66848242217e-05,11.959,0.02,290.833241188,38.1841851033,kmag,green18,smsyn
83,K00201,5550.91240633,100,4.7,1,0.388916337712,0.12,0.00160952796757,1.5883573025e-05,12.354,0.019,287.130578167,42.3501533459,kmag,green18,smsyn
