,id_starname,teff,teff_err,logg,logg_err,feh,feh_err,feh_err,parallax,parallax_err,kmag,kmag_err,ra,dec,band,dust,cks_sprov
41,K00116,5860.1189346,100,4.7,1,-0.102889936163,0.06,0.12,-99,0,11.431,0.018,300.864006037,44.3375497413,kmag,allsky,smsyn
42,K00117,5855.64365114,100,4.7,1,0.328185233476,0.06,0.12,-99,0,11.06,0.016,297.028162033,48.2086019061,kmag,allsky,smsyn
43,K00118,5771.44758969,100,4.7,1,0.0754424251961,0.06,0.12,-99,0,10.897,0.018,287.362914454,38.6497341062,kmag,allsky,smsyn
44,K00122,5658.95916141,100,4.7,1,0.27131213549,0.06,0.12,-99,0,10.801,0.017,284.482428102,44.3978910231,kmag,allsky,smsyn
45,K00123,5939.59579202,100,4.7,1,-0.0162455158029,0.06,0.12,-99,0,11.001,0.017,290.392679457,40.2849073667,kmag,allsky,smsyn
46,K00124,5973.26212828,100,4.7,1,-0.101159044323,0.06,0.12,-99,0,11.623,0.019,292.929169296,48.6028302599,kmag,allsky,smsyn
47,K00127,5575.46250594,100,4.7,1,0.360032347774,0.06,0.12,-99,0,12.361,0.018,289.607943273,44.3454347101,kmag,allsky,smsyn
48,K00128,5647.77852842,100,4.7,1,0.266909408647,0.06,0.12,-99,0,12.216,0.028,296.20055063,49.1400304374,kmag,allsky,smsyn
49,K00131,6552.83816186,100,4.7,1,0.242446404427,0.06,0.12,-99,0,12.562,0.024,299.097516729,43.4975850605,kmag,allsky,smsyn
50,K00134,6254.70414111,100,4.7,1,0.29994322101,0.06,0.12,-99,0,12.322,0.018,295.586597971,45.3649371263,kmag,allsky,smsyn
51,K00135,5950.06233263,100,4.7,1,0.35818494208,0.06,0.12,-99,0,12.549,0.03,285.240828807,46.668241075,kmag,allsky,smsyn
52,K00137,5472.16620155,100,4.7,1,0.300642459615,0.06,0.12,-99,0,11.756,0.019,298.079444759,44.7462479635,kmag,allsky,smsyn
53,K00138,6679.59927273,100,4.7,1,-0.153248924543,0.06,0.12,-99,0,12.719,0.029,295.94093939,44.5783408443,kmag,allsky,smsyn
54,K00139,5917.70103914,100,4.7,1,0.222555136055,0.06,0.12,-99,0,12.11,0.023,291.653162965,44.6882612706,kmag,allsky,smsyn
55,K00144,4919.63913828,100,4.7,1,0.2830103206,0.06,0.12,-99,0,11.461,0.014,296.524518732,39.2498502922,kmag,allsky,smsyn
56,K00145,4922.66467707,100,4.7,1,0.0473130636577,0.06,0.12,-99,0,11.382,0.025,296.817745833,46.7815147022,kmag,allsky,smsyn
57,K00148,5206.86929246,100,4.7,1,0.247564481225,0.06,0.12,-99,0,11.221,0.023,299.139309362,40.9489390358,kmag,allsky,smsyn
58,K00149,5699.00180146,100,4.7,1,0.0251545103033,0.06,0.12,-99,0,11.731,0.02,286.630079569,38.9455907032,kmag,allsky,smsyn
59,K00150,5562.15471936,100,4.7,1,-0.395859084165,0.06,0.12,-99,0,12.155,0.021,296.981136078,43.2097025112,kmag,allsky,smsyn
60,K00151,6257.8600168,100,4.7,1,-0.0646589039265,0.06,0.12,-99,0,12.554,0.026,292.374755768,37.6309693235,kmag,allsky,smsyn
61,K00152,6426.8306126,100,4.7,1,0.0710146089666,0.06,0.12,-99,0,12.606,0.031,300.517106653,44.3815508451,kmag,allsky,smsyn
62,K00153,4755.44347376,100,4.7,1,0.143174799636,0.06,0.12,-99,0,11.255,0.023,287.997872084,50.9441847186,kmag,allsky,smsyn
63,K00155,5671.08046121,100,4.7,1,-0.174404153915,0.06,0.12,-99,0,11.91,0.022,292.321517448,43.8811722703,kmag,allsky,smsyn
64,K00157,5763.85097735,100,4.7,1,0.0525854933184,0.06,0.12,-99,0,12.18,0.02,297.115094872,41.9091091894,kmag,allsky,smsyn
65,K00159,6024.21056499,100,4.7,1,-0.0237460547911,0.06,0.12,-99,0,11.97,0.019,297.711929892,45.261984965,kmag,allsky,smsyn
66,K00161,4976.28124059,100,4.7,1,0.329050568494,0.06,0.12,-99,0,11.241,0.02,287.051694028,40.2114231935,kmag,allsky,smsyn
67,K00166,5170.71874048,100,4.7,1,-0.221628586502,0.06,0.12,-99,0,11.716,0.02,291.021889924,37.7698734264,kmag,allsky,smsyn
68,K00167,6223.94692904,100,4.7,1,0.0533139390166,0.06,0.12,-99,0,12.065,0.022,294.463916471,49.7650472539,kmag,allsky,smsyn
69,K00168,5789.81460838,100,4.7,1,-0.118935834005,0.06,0.12,-99,0,11.998,0.019,294.218913129,49.4792535538,kmag,allsky,smsyn
70,K00171,6224.56529627,100,4.7,1,0.0951854664499,0.06,0.12,-99,0,12.383,0.022,294.742060503,43.5367842417,kmag,allsky,smsyn
71,K00172,5657.92984363,100,4.7,1,-0.216708007907,0.06,0.12,-99,0,12.234,0.026,293.260901307,44.8688656442,kmag,allsky,smsyn
72,K00173,5666.60730934,100,4.7,1,-0.00356971386922,0.06,0.12,-99,0,12.383,0.025,291.90698616,49.2620759992,kmag,allsky,smsyn
73,K00174,4700.97662997,100,4.7,1,-0.232902189313,0.06,0.12,-99,0,11.536,0.018,296.822932642,48.1077628186,kmag,allsky,smsyn
74,K00176,6375.85593213,100,4.7,1,-0.210727182608,0.06,0.12,-99,0,12.222,0.024,291.646776447,41.8846843433,kmag,allsky,smsyn
75,K00179,6126.33838281,100,4.7,1,0.229453221664,0.06,0.12,-99,0,12.502,0.023,297.045403736,46.3286653081,kmag,allsky,smsyn
